State,Common_Name,Scientific_Name,Sub_Species_Name,Variation_Name,Global_Rank,Global_Rank_Range,Global_Rank_Qualifier,Global_Taxon,Global_Taxon_Range,Global_Taxon_Qualifier,State_Rank,State_Rank_Range,State_Rank_Qualifier,State_Listing,Federal_Listing
Indiana,Western Lettuce,Lactuca ludoviciana,,,G4,G5,,,,,,,PX,,
Indiana,Minute Duckweed,Lemna perpusilla,,,G5,,,,,,,,PX,,
Indiana,Twinflower,Linnaea borealis,,,G5,,,,,,,,PX,,
Indiana,Stemless Evening-primrose,Oenothera triloba,,,G4,,,,,,,,PX,,
Indiana,One-sided Wintergreen,Orthilia secunda,,,G5,,,,,,,,PX,,
Indiana,Few-flowered Scurf-pea,Pediomelum tenuiflorum,,,G5,,,,,,,,PX,,
Indiana,Leafy White Orchid,Platanthera dilatata,,,G5,,,,,,,,PX,,
Indiana,Hooker's Orchid,Platanthera hookeri,,,G4,,,,,,,,PX,,
Indiana,Large Roundleaf Orchid,Platanthera orbiculata,,,G5,,,,,,,,PX,,
Indiana,Early Bluegrass,Poa cuspidata,,,G5,,,,,,,,PX,,
Indiana,Louisiana Unicorn-plant,Proboscidea louisianica,,,,U,,,,,,,PX,,
Indiana,Winged Cudweed,Pseudognaphalium macounii,,,G5,,,,,,,,PX,,
Indiana,Greenish-flowered Wintergreen,Pyrola chlorantha,,,G5,,,,,,,,PX,,
Indiana,Brown Beakrush,Rhynchospora fusca,,,G4,G5,,,,,,,PX,,
Indiana,Slender Marsh Pink,Sabatia campanulata,,,G5,,,,,,,,PX,,
Indiana,Leathery Grape-fern,Sceptridium multifidum,,,G5,,,,,,,,PX,,
Indiana,Ternate Grapefern,Sceptridium rugulosum,,,G3,,,,,,,,PX,,
Indiana,Canada Buffalo-berry,Shepherdia canadensis,,,G5,,,,,,,,PX,,
Indiana,Northern Mountain-ash,Sorbus decora,,,G5,,,,,,,,PX,,
Indiana,Small Bur-reed,Sparganium natans,,,G5,,,,,,,,PX,,
Indiana,Carolina Tassel-rue,Trautvetteria caroliniensis,,,G5,,,,,,,,PX,,
Indiana,American Speedwell,Veronica americana,,,G5,,,,,,,,PX,,
Maryland,Beetle-weed,Galax urceolata,,,G5,,,,,,,,PX,,
Maryland,Rock Clubmoss,Huperzia porophila,,,G4,,,,,,,,PX,,
Maryland,Spanish Moss,Tillandsia usneoides,,,G5,,,,,,,,PX,,
New Hampshire,Small-leaved Pond-lily,Nuphar microphylla,,,G5,,,T4,T5,,,,H,E,
New Hampshire,Wild Campion,Silene caroliniana,pensylvanica,,G5,,,T4,T5,,,,H,E,
New Hampshire,Peat Moss,Sphagnum brevifolium,,,G5,,,T4,T5,,,,H,E,
Maryland,Susquehanna Sandcherry,Prunus susquehanae,,,G5,,,T4,T5,,,,H,,
New Hampshire,Peat Moss,Sphagnum majus,norvegicum,,G5,,?,TX,,,,,H,T,
New Hampshire,Slender Crabgrass,Digitaria filiformis,,filiformis,G5,,?,TX,,,,,H,E,
New Hampshire,Smooth Slender Crabgrass,Digitaria filiformis,,laeviglumis,G5,,?,TX,,,,,H,E,
New Hampshire,Pease's Blunt Spikesedge,Eleocharis obtusa,,peasei,G5,,?,TX,,,,,H,E,
New Hampshire,Eight-flowered Six-weeks Grass,Vulpia octoflora,,tenella,G5,,?,TX,,,,,H,E,
New Hampshire,Macoun's Bluejoint,Calamagrostis canadensis,,macouniana,G5,,?,T5,,,,,H,E,
New Hampshire,Long-leaved Redtop-panicgrass,Coleataenia longifolia,longifolia,,G5,,?,T5,,,,,H,E,
New Hampshire,Few-flowered Nutsedge,Scleria pauciflora,,pauciflora,G5,,?,T5,,,,,H,E,
New Hampshire,Neglected Reed Grass,Calamagrostis stricta,stricta,,G5,,,T5,,,,,H,E,
New Hampshire,Fairy-slipper,Calypso bulbosa,americana,,G5,,,T5,,,,,H,E,
New Hampshire,Nodding Stickseed,Hackelia deflexa,americana,,G5,,,T5,,,,,H,E,
New Hampshire,Northern Green Rush,Juncus alpinoarticulatus,americanus,,G5,,,T5,,,,,H,E,
New Hampshire,Bearded Sprangletop,Leptochloa fusca,fascicularis,,G5,,,T5,,,,,H,E,
New Hampshire,Coast Cinquefoil,Potentilla litoralis,,,G5,,,T5,,,,,H,E,
New Hampshire,Boreal Knotted Pearlwort,Sagina nodosa,borealis,,G5,,,T5,,,,,H,E,
New Hampshire,Drum-heads Milkwort,Polygala cruciata,aquilonia,,G5,,,T4,,,,,H,E,
New Hampshire,Weatherby's Rabbit-tobacco,Pseudognaphalium micradenium,,,G4,G5,?,T3,,,,,H,E,
New Hampshire,Budding Pondweed,Potamogeton gemmiparus,,,G5,,,T3,,,,,H,E,
New Hampshire,Poplar Hawthorn,Crataegus populnea,,,,,NR,,,Q,,,H,E,
New Hampshire,Peat Moss,Sphagnum subfulvum,,,,,NR,,,,,,H,E,
Maryland,Nuttall's Micranthemum,Hemianthus micranthemoides,,,,,H,,,,,,H,X,
Maryland,Bluehearts,Buchnera americana,,,G5,,?,,,,,,H,X,
Maryland,Trailing Tick-trefoil,Desmodium humifusum,,,G1,G2,?,,,,,,H,X,
Maryland,Small Whorled Pogonia,Isotria medeoloides,,,G2,,?,,,,,,H,X,
Maryland,Hairy Lettuce,Lactuca hirsuta,,,G5,,?,,,,,,H,X,
New Hampshire,Peat Moss,Sphagnum andersonianum,,,G3,,?,,,,,,H,T,
New Hampshire,Purple Milkweed,Asclepias purpurascens,,,G5,,?,,,,,,H,E,
New Hampshire,Long's Bitter-cress,Cardamine longii,,,G3,,?,,,,,,H,E,
Maryland,Coastal Water-hyssop,Bacopa monnieri,,,G5,,?,,,,,,H,,
Maryland,Hairy Woodmint,Blephilia hirsuta,,,G5,,?,,,,,,H,,
Maryland,Sharpleaf St. John's-wort,Hypericum virgatum,,,G4,,?,,,,,,H,,
Maryland,Purple Bergamot,Monarda media,,,G4,,?,,,,,,H,,
Maryland,Hairgrass,Muhlenbergia glabriflora,,,G4,,?,,,,,,H,,
Maryland,Ten-lobe False Foxglove,Agalinis obtusifolia,,,G4,G5,,,,,,,H,X,
Maryland,Golden Colicroot,Aletris aurea,,,G5,,,,,,,,H,X,
Maryland,Canada Anemone,Anemone canadensis,,,G5,,,,,,,,H,X,
Maryland,Great Angelica,Angelica atropurpurea,,,G5,,,,,,,,H,X,
Maryland,Great Indian-plantain,Arnoglossum reniforme,,,G4,,,,,,,,H,X,
Maryland,Tropical Water-hyssop,Bacopa innominata,,,G3,G5,,,,,,,H,X,
Maryland,Sea Oxeye,Borrichia frutescens,,,G5,,,,,,,,H,X,
Maryland,Least Grape-fern,Botrychium simplex,,,G5,,,,,,,,H,X,
Maryland,Wild Chess,Bromus kalmii,,,G5,,,,,,,,H,X,
Maryland,Southern Harebell,Campanula divaricata,,,G4,,,,,,,,H,X,
Maryland,Variable Sedge,Carex polymorpha,,,G3,,,,,,,,H,X,
Maryland,Slender Sedge,Carex tenera,,,G5,,,,,,,,H,X,
Maryland,Curly-heads,Clematis ochroleuca,,,G4,,,,,,,,H,X,
Maryland,Toothed Sedge,Cyperus dentatus,,,G4,,,,,,,,H,X,
Maryland,Plukenet's Flatsedge,Cyperus plukenetii,,,G5,,,,,,,,H,X,
Maryland,Showy Lady's-slipper,Cypripedium reginae,,,G4,G5,,,,,,,H,X,
Maryland,Sand Tick-trefoil,Desmodium lineatum,,,G5,,,,,,,,H,X,
Maryland,Sessile-leaf Tick-trefoil,Desmodium sessilifolium,,,G5,,,,,,,,H,X,
Maryland,Rattlesnake-master,Eryngium yuccifolium,,,G5,,,,,,,,H,X,
Maryland,Downy Gentian,Gentiana puberulenta,,,G4,G5,,,,,,,H,X,
Maryland,Dwarf Rattlesnake-plantain,Goodyera repens,,,G5,,,,,,,,H,X,
Maryland,Checkered Rattlesnake-plantain,Goodyera tesselata,,,G5,,,,,,,,H,X,
Maryland,Branched Hedge-hyssop,Gratiola ramosa,,,G4,G5,,,,,,,H,X,
Maryland,Drummond's St. John's-wort,Hypericum drummondii,,,G5,,,,,,,,H,X,
Maryland,Baltic Rush,Juncus balticus,,,G5,,,,,,,,H,X,
Maryland,Bayonet Rush,Juncus militaris,,,G4,,,,,,,,H,X,
Maryland,Dwarf Juniper,Juniperus communis,,,G5,,,,,,,,H,X,
Maryland,Slender Pinweed,Lechea tenuifolia,,,G5,,,,,,,,H,X,
Maryland,Heller’s Blazing Star,Liatris helleri,,,G3,,,,,,,,H,X,
Maryland,American Lovage,Ligusticum canadense,,,G4,,,,,,,,H,X,
Maryland,Wood Lily,Lilium philadelphicum,,,G5,,,,,,,,H,X,
Maryland,Heartleaf Twayblade,Listera cordata,,,G5,,,,,,,,H,X,
Maryland,Sea Milkwort,Lysimachia maritima,,,G5,,,,,,,,H,X,
Maryland,Slender Water-milfoil,Myriophyllum tenellum,,,G5,,,,,,,,H,X,
Maryland,One-side Wintergreen,Orthilia secunda,,,G5,,,,,,,,H,X,
Maryland,Mountain Phlox,Phlox ovata,,,G4,,,,,,,,H,X,
Maryland,Heartleaf Plantain,Plantago cordata,,,G4,,,,,,,,H,X,
Maryland,Small Purple Fringed Orchid,Platanthera psycodes,,,G5,,,,,,,,H,X,
Maryland,Bushy Knotweed,Polygonum ramosissimum,,,G5,,,,,,,,H,X,
Maryland,Southern Mountainmint,Pycnanthemum pycnanthemoides,,,G5,,,,,,,,H,X,
Maryland,Green-flower Wintergreen,Pyrola chlorantha,,,G5,,,,,,,,H,X,
Maryland,Bristly Crowfoot,Ranunculus pensylvanicus,,,G5,,,,,,,,H,X,
Maryland,Few-flowered Beakrush,Rhynchospora oligantha,,,G4,,,,,,,,H,X,
Maryland,Pale Beakrush,Rhynchospora pallida,,,G3,,,,,,,,H,X,
Maryland,Bebb's Willow,Salix bebbiana,,,G5,,,,,,,,H,X,
Maryland,Shining Willow,Salix lucida,,,G5,,,,,,,,H,X,
Maryland,Leathery Grape-fern,Sceptridium multifidum,,,G5,,,,,,,,H,X,
Maryland,Canby's Bulrush,Schoenoplectus etuberculatus,,,G3,G4,,,,,,,H,X,
Maryland,Sweetscent Ladies'-tresses,Spiranthes odorata,,,G5,,,,,,,,H,X,
Maryland,Buffalo Clover,Trifolium reflexum,,,G3,G4,,,,,,,H,X,
Maryland,Navel-shaped Cornsalad,Valerianella umbilicata,,,G4,G5,,,,,,,H,X,
Maryland,American Purple Vetch,Vicia americana,,,G5,,,,,,,,H,X,
New Hampshire,Early Blue Cohosh,Caulophyllum giganteum,,,G4,G5,,,,,,,H,T,
New Hampshire,Peat Moss,Sphagnum pylaesii,,,G4,,,,,,,,H,T,
New Hampshire,Squashberry,Viburnum edule,,,G5,,,,,,,,H,T,
New Hampshire,Long-spurred Violet,Viola rostrata,,,G5,,,,,,,,H,T,
New Hampshire,Virginia Three-seeded-mercury,Acalypha virginica,,,G5,,,,,,,,H,E,
New Hampshire,White Colic-root,Aletris farinosa,,,G5,,,,,,,,H,E,
New Hampshire,Round-leaved Orchid,Amerorchis rotundifolia,,,G5,,,,,,,,H,E,
New Hampshire,Long-headed Windflower,Anemone cylindrica,,,G5,,,,,,,,H,E,
New Hampshire,American Yellow-rocket,Barbarea orthoceras,,,G5,,,,,,,,H,E,
New Hampshire,Northern Beggar-ticks,Bidens hyperborea,,,G4,,,,,,,,H,E,
New Hampshire,Southern Short Husk Grass,Brachyelytrum erectum,,,G5,,,,,,,,H,E,
New Hampshire,Kalm's Brome,Bromus kalmii,,,G5,,,,,,,,H,E,
New Hampshire,Bulbous Bitter-cress,Cardamine bulbosa,,,G5,,,,,,,,H,E,
New Hampshire,Swarthy Sedge,Carex adusta,,,G5,,,,,,,,H,E,
New Hampshire,Broad-winged Sedge,Carex alata,,,G5,,,,,,,,H,E,
New Hampshire,Chestnut Sedge,Carex castanea,,,G5,,,,,,,,H,E,
New Hampshire,Fescue Sedge,Carex festucacea,,,G5,,,,,,,,H,E,
New Hampshire,Troublesome Sedge,Carex molesta,,,G4,,,,,,,,H,E,
New Hampshire,Wild Sensitive-pea,Chamaecrista nictitans,nictitans,,G5,,,,,,,,H,E,
New Hampshire,Yellow Thistle,Cirsium horridulum,,horridulum,G5,,,,,,,,H,E,
New Hampshire,Northern Horsebalm,Collinsonia canadensis,,,G5,,,,,,,,H,E,
New Hampshire,Golden Corydalis,Corydalis aurea,,,G5,,,,,,,,H,E,
New Hampshire,Arrow-head Rattlebox,Crotalaria sagittalis,,,G5,,,,,,,,H,E,
New Hampshire,Fragrant Umbrella Sedge,Cyperus odoratus,,,G5,,,,,,,,H,E,
New Hampshire,Large-bracted Tick-trefoil,Desmodium cuspidatum,,,G5,,,,,,,,H,E,
New Hampshire,Stiff Tick-trefoil,Desmodium obtusum,,,G4,G5,,,,,,,H,E,
New Hampshire,Coast Barnyard Grass,Echinochloa walteri,,,G5,,,,,,,,H,E,
New Hampshire,American Waterwort,Elatine americana,,,G4,,,,,,,,H,E,
New Hampshire,Quill Spikesedge,Eleocharis nitida,,,G4,,,,,,,,H,E,
New Hampshire,Ovoid Spikesedge,Eleocharis ovata,,,G5,,,,,,,,H,E,
New Hampshire,Long-tubercled Spikesedge,Eleocharis tuberculosa,,,G5,,,,,,,,H,E,
New Hampshire,Pimpernel Willow-herb,Epilobium anagallidifolium,,,G5,,,,,,,,H,E,
New Hampshire,White-flowered Willow-herb,Epilobium lactiflorum,,,G5,,,,,,,,H,E,
New Hampshire,Marsh Horsetail,Equisetum palustre,,,G5,,,,,,,,H,E,
New Hampshire,Sandbar Lovegrass,Eragrostis frankii,,,G5,,,,,,,,H,E,
New Hampshire,Teel Lovegrass,Eragrostis hypnoides,,,G5,,,,,,,,H,E,
New Hampshire,Upland Thoroughwort,Eupatorium sessilifolium,,,G5,,,,,,,,H,E,
New Hampshire,Blunt-leaved Bedstraw,Galium obtusum,obtusum,,G5,,,,,,,,H,E,
New Hampshire,Graphephorum,Graphephorum melicoides,,,G4,G5,,,,,,,H,E,
New Hampshire,Northern Firmoss,Huperzia selago,,,G5,,,,,,,,H,E,
New Hampshire,Evergreen Winterberry,Ilex glabra,,,G5,,,,,,,,H,E,
New Hampshire,Acadian Quillwort,Isoetes acadiensis,,,G3,,,,,,,,H,E,
New Hampshire,Lake Quillwort,Isoetes lacustris,,,G5,,,,,,,,H,E,
New Hampshire,Small-headed Rush,Juncus brachycephalus,,,G5,,,,,,,,H,E,
New Hampshire,Forked Rush,Juncus dichotomus,,,G5,,,,,,,,H,E,
New Hampshire,Pale Duckweed,Lemna valdiviana,,,G5,,,,,,,,H,E,
New Hampshire,Turk's-cap Lily,Lilium superbum,,,G5,,,,,,,,H,E,
New Hampshire,Atlantic Mudwort,Limosella australis,,,G4,G5,,,,,,,H,E,
New Hampshire,Grooved Yellow Flax,Linum sulcatum,,sulcatum,G5,,,,,,,,H,E,
New Hampshire,Northern Wood Rush,Luzula confusa,,,G5,,,,,,,,H,E,
New Hampshire,White Adder's-mouth,Malaxis monophyllos,brachypoda,,G4,G5,,,,,,,H,E,
New Hampshire,Canada Moonseed,Menispermum canadense,,,G5,,,,,,,,H,E,
New Hampshire,Slender Muhly,Muhlenbergia tenuiflora,,,G5,,,,,,,,H,E,
New Hampshire,Lion's-foot Rattlesnake-root,Nabalus serpentarius,,,G5,,,,,,,,H,E,
New Hampshire,Philadelphia Panicgrass,Panicum philadelphicum,philadelphicum,,G5,,,,,,,,H,E,
New Hampshire,Glaucous Blue Grass,Poa glauca,glauca,,G5,,,,,,,,H,E,
New Hampshire,Upright Knotweed,Polygonum erectum,,,G5,,,,,,,,H,E,
New Hampshire,Leafy Pondweed,Potamogeton foliosus,foliosus,,G5,,,,,,,,H,E,
New Hampshire,Blunt-leaved Pondweed,Potamogeton obtusifolius,,,G5,,,,,,,,H,E,
New Hampshire,White-stemmed Pondweed,Potamogeton praelongus,,,G5,,,,,,,,H,E,
New Hampshire,Richardson's Pondweed,Potamogeton richardsonii,,,G5,,,,,,,,H,E,
New Hampshire,Comb-leaved Mermaid-weed,Proserpinaca pectinata,,,G5,,,,,,,,H,E,
New Hampshire,Water-plantain Crowfoot,Ranunculus ambigens,,,G4,,,,,,,,H,E,
New Hampshire,Pink Azalea,Rhododendron periclymenoides,,,G5,,,,,,,,H,E,
New Hampshire,Toothcup,Rotala ramosior,,,G5,,,,,,,,H,E,
New Hampshire,Sessile-fruited Arrowhead,Sagittaria rigida,,,G5,,,,,,,,H,E,
New Hampshire,Canada Sanicle,Sanicula canadensis,,canadensis,G5,,,,,,,,H,E,
New Hampshire,Leafy Bulrush,Scirpus polyphyllus,,,G5,,,,,,,,H,E,
New Hampshire,Needle-tipped Blue-eyed-grass,Sisyrinchium mucronatum,,,G5,,,,,,,,H,E,
New Hampshire,Rough-leaved Goldenrod,Solidago patula,,patula,G5,,,,,,,,H,E,
New Hampshire,Branched Bur-reed,Sparganium androcladum,,,G4,G5,,,,,,,H,E,
New Hampshire,Peat Moss,Sphagnum angermanicum,,,G5,,,,,,,,H,E,
New Hampshire,Peat Moss,Sphagnum lindbergii,,,G5,,,,,,,,H,E,
New Hampshire,Prairie Wedgescale,Sphenopholis obtusata,,,G5,,,,,,,,H,E,
New Hampshire,Small Dropseed,Sporobolus neglectus,,,G5,,,,,,,,H,E,
New Hampshire,Thread-leaved False Pondweed,Stuckenia filiformis,,,G5,,,,,,,,H,E,
New Hampshire,Appalachian Bristle Fern,Trichomanes intricatum,,,G4,G5,,,,,,,H,E,
New Hampshire,Purple Sandgrass,Triplasis purpurea,,purpurea,G4,G5,,,,,,,H,E,
New Hampshire,Resupinate Bladderwort,Utricularia resupinata,,,G4,,,,,,,,H,E,
New Hampshire,Arctic Hair Grass,Vahlodea atropurpurea,,,G5,,,,,,,,H,E,
New Hampshire,Marsh Valerian,Valeriana uliginosa,,,G4,,,,,,,,H,E,
New Hampshire,Northern Bog Violet,Viola nephrophylla,,,G5,,,,,,,,H,E,
New Hampshire,Common Prickly-ash,Zanthoxylum americanum,,,G5,,,,,,,,H,E,
Maryland,Fringed Brome,Bromus ciliatus,,,G5,,,,,,,,H,,
Maryland,Michaux's Sedge,Carex michauxiana,,,G5,,,,,,,,H,,
Maryland,Showy Tick-trefoil,Desmodium canadense,,,G5,,,,,,,,H,,
Maryland,Ravenel's Witchgrass,Dichanthelium ravenelii,,,G5,,,,,,,,H,,
Maryland,Tall Cinquefoil,Drymocallis arguta,,,G5,,,,,,,,H,,
Maryland,Purple Avens,Geum rivale,,,G5,,,,,,,,H,,
Maryland,Marsh Muhly,Muhlenbergia glomerata,,,G5,,,,,,,,H,,
Maryland,Basil Mountainmint G1g2,Pycnanthemum clinopodioides,,,G1,G2,,,,,,,H,,
Maryland,Brown Beakrush,Rhynchospora fusca,,,G4,G5,,,,,,,H,,
Maryland,Pussy Willow,Salix discolor,,,G5,,,,,,,,H,,
Maryland,Grass-leaved Ladies'-tresses,Spiranthes praecox,,,G5,,,,,,,,H,,
Maryland,Late Goldenrod,Solidago arguta,,arguta,G5,,,T4,T5,,S1,,?,,
Indiana,Red Baneberry,Actaea rubra,rubra,,G5,,,T5,,,S1,,?,T,
